language,description,url
css+mozpreproc,CSS+mozpreproc,https://firefox-source-docs.mozilla.org/build/buildsystem/preprocessor.html
css+myghty,CSS+Myghty,http://www.myghty.org/
css+php,CSS+PHP,https://www.php.net
css+ruby,CSS+Ruby,https://github.com/ruby/erb
css+smarty,CSS+Smarty,https://www.smarty.net/
css+ul4,CSS+UL4,https://python.livinglogic.de/UL4.html
cuda,CUDA,https://developer.nvidia.com/category/zone/cuda-zone
cypher,Cypher,https://neo4j.com/docs/developer-manual/3.3/cypher/
cython,Cython,https://cython.org
d,D,https://dlang.org/
d-objdump,d-objdump,https://www.gnu.org/software/binutils
dart,Dart,http://dart.dev/
dasm16,DASM16,http://0x10c.com/doc/dcpu-16.txt
dax,Dax,https://learn.microsoft.com/en-us/dax/dax-function-reference
debcontrol,Debian Control file,https://www.debian.org/doc/debian-policy/ch-controlfields.html
debian.sources,Debian Sources file,https://manpages.debian.org/bookworm/apt/sources.list.5.en.html#THE_DEB_AND_DEB-SRC_TYPES:_GENERAL_FORMAT
debsources,Debian Sourcelist,https://wiki.debian.org/SourcesList
delphi,Delphi,https://www.embarcadero.com/products/delphi
desktop,Desktop file,https://specifications.freedesktop.org/desktop-entry-spec/desktop-entry-spec-latest.html
devicetree,Devicetree,https://www.devicetree.org/
dg,dg,http://pyos.github.io/dg
diff,Diff,https://en.wikipedia.org/wiki/Diff
django,Django/Jinja,https://www.djangoproject.com/documentation/templates
docker,Docker,http://docker.io
doscon,MSDOS Session,https://en.wikipedia.org/wiki/MS-DOS
dpatch,Darcs Patch,https://darcs.net
dtd,DTD,https://en.wikipedia.org/wiki/Document_type_definition
duel,Duel,http://duelengine.org/
dylan,Dylan,http://www.opendylan.org/
dylan-console,Dylan session,http://www.opendylan.org/
dylan-lid,DylanLID,http://www.opendylan.org/
earl-grey,Earl Grey,https://github.com/breuleux/earl-grey
easytrieve,Easytrieve,https://www.broadcom.com/products/mainframe/application-development/easytrieve-report-generator
ebnf,EBNF,https://en.wikipedia.org/wiki/Extended_Backus%E2%80%93Naur_Form
ec,eC,https://ec-lang.org
ecl,ECL,https://hpccsystems.com/training/documentation/ecl-language-reference/html
eiffel,Eiffel,https://www.eiffel.com
elixir,Elixir,https://elixir-lang.org
elm,Elm,https://elm-lang.org/
elpi,Elpi,http://github.com/LPCIC/elpi
emacs-lisp,EmacsLisp,https://www.gnu.org/software/emacs
email,E-mail,https://en.wikipedia.org/wiki/Email#Message_format
erb,ERB,https://github.com/ruby/erb
erl,Erlang erl session,https://www.erlang.org/
erlang,Erlang,https://www.erlang.org/
evoque,Evoque,https://gizmojo.org/templating
execline,execline,https://skarnet.org/software/execline
extempore,xtlang,http://extempore.moso.com.au
ezhil,Ezhil,http://ezhillang.org
factor,Factor,http://factorcode.org
fan,Fantom,https://www.fantom.org
fancy,Fancy,https://github.com/bakkdoor/fancy
felix,Felix,http://www.felix-lang.org
fennel,Fennel,https://fennel-lang.org
fift,Fift,https://ton-blockchain.github.io/docs/fiftbase.pdf
fish,Fish,https://fishshell.com
flatline,Flatline,https://github.com/bigmlcom/flatline
floscript,FloScript,https://github.com/ioflo/ioflo
forth,Forth,https://www.forth.com/forth/
fortran,Fortran,https://fortran-lang.org/
fortranfixed,FortranFixed,https://fortran-lang.org/
foxpro,FoxPro,https://learn.microsoft.com/en-us/previous-versions/visualstudio/foxpro
freefem,Freefem,https://freefem.org/
fsharp,F#,https://fsharp.org/
fstar,FStar,https://www.fstar-lang.org/
func,FunC,https://docs.ton.org/develop/func/overview
futhark,Futhark,https://futhark-lang.org/
gap,GAP,https://www.gap-system.org
gap-console,GAP session,https://www.gap-system.org
gas,GAS,https://www.gnu.org/software/binutils
gcode,g-code,https://en.wikipedia.org/wiki/G-code
gdscript,GDScript,https://www.godotengine.org
genshi,Genshi,https://genshi.edgewall.org/
genshitext,Genshi Text,https://genshi.edgewall.org/
gherkin,Gherkin,https://cucumber.io/docs/gherkin
gleam,Gleam,https://gleam.run/
glsl,GLSL,https://www.khronos.org/api/opengl
gnuplot,Gnuplot,http://gnuplot.info/
go,Go,https://go.dev/
golo,Golo,http://golo-lang.org/
gooddata-cl,GoodData-CL,https://github.com/gooddata/GoodData-CL
googlesql,GoogleSQL,https://cloud.google.com/bigquery/googlesql
gosu,Gosu,https://gosu-lang.github.io
graphql,GraphQL,https://graphql.org
graphviz,Graphviz,https://www.graphviz.org/doc/info/lang.html
groff,Groff,https://www.gnu.org/software/groff
groovy,Groovy,https://groovy-lang.org/
gsql,GSQL,https://docs.tigergraph.com/dev/gsql-ref
gst,Gosu Template,https://gosu-lang.github.io
haml,Haml,https://haml.info
handlebars,Handlebars,https://handlebarsjs.com/
hare,Hare,https://harelang.org/
haskell,Haskell,https://www.haskell.org/
haxe,Haxe,http://haxe.org/
haxeml,Hxml,https://haxe.org/manual/compiler-usage-hxml.html
hexdump,Hexdump,https://en.wikipedia.org/wiki/Hex_dump
hlsl,HLSL,https://learn.microsoft.com/en-us/windows/win32/direct3dhlsl/dx-graphics-hlsl
hsail,HSAIL,https://en.wikipedia.org/wiki/Heterogeneous_System_Architecture#HSA_Intermediate_Layer
hspec,Hspec,https://www.haskell.org/
html,HTML,https://html.spec.whatwg.org/
html+cheetah,HTML+Cheetah,http://www.cheetahtemplate.org/
html+django,HTML+Django/Jinja,https://www.djangoproject.com/documentation/templates
html+evoque,HTML+Evoque,https://gizmojo.org/templating
html+genshi,HTML+Genshi,https://genshi.edgewall.org/
html+handlebars,HTML+Handlebars,https://handlebarsjs.com/
html+lasso,HTML+Lasso,https://www.lassosoft.com
html+mako,HTML+Mako,http://www.makotemplates.org/
html+myghty,HTML+Myghty,http://www.myghty.org/
html+ng2,HTML + Angular2,https://angular.io/guide/template-syntax
html+php,HTML+PHP,https://www.php.net
html+smarty,HTML+Smarty,https://www.smarty.net/
html+twig,HTML+Twig,https://twig.symfony.com
html+ul4,HTML+UL4,https://python.livinglogic.de/UL4.html
html+velocity,HTML+Velocity,https://velocity.apache.org/
http,HTTP,https://httpwg.org/specs
hybris,Hybris,https://github.com/evilsocket/hybris
