language,description,url
tlb,Tl-b,https://docs.ton.org/#/overviews/TL-B
tls,TLS Presentation Language,https://www.rfc-editor.org/rfc/rfc8446#section-3
tnt,Typographic Number Theory,https://github.com/Kenny2github/language-tnt
todotxt,Todotxt,http://todotxt.com/
toml,TOML,https://toml.io
trac-wiki,MoinMoin/Trac Wiki markup,https://moinmo.in
trafficscript,TrafficScript,https://riverbed.com
treetop,Treetop,https://cjheath.github.io/treetop
tsql,Transact-SQL,https://www.tsql.info
tsx,TSX,https://www.typescriptlang.org/docs/handbook/jsx.html
turtle,Turtle,https://www.w3.org/TR/turtle
twig,Twig,https://twig.symfony.com
typescript,TypeScript,https://www.typescriptlang.org/
typoscript,TypoScript,http://docs.typo3.org/typo3cms/TyposcriptReference/
typoscriptcssdata,TypoScriptCssData,http://docs.typo3.org/typo3cms/TyposcriptReference/
typoscripthtmldata,TypoScriptHtmlData,http://docs.typo3.org/typo3cms/TyposcriptReference/
typst,Typst,https://typst.app
ucode,ucode,http://www.unicon.org
ul4,UL4,https://python.livinglogic.de/UL4.html
unicon,Unicon,https://www.unicon.org
unixconfig,Unix/Linux config files,https://en.wikipedia.org/wiki/Configuration_file#Unix_and_Unix-like_operating_systems
urbiscript,UrbiScript,https://github.com/urbiforge/urbi
urlencoded,urlencoded,https://en.wikipedia.org/wiki/Percent-encoding
usd,USD,https://graphics.pixar.com/usd/release/index.html
vala,Vala,https://vala.dev
vb.net,VB.net,https://docs.microsoft.com/en-us/dotnet/visual-basic/
vbscript,VBScript,https://learn.microsoft.com/en-us/previous-versions/t0aew7h6(v=vs.85)
vcl,VCL,https://www.varnish-software.com/developers/tutorials/varnish-configuration-language-vcl
vclsnippets,VCLSnippets,https://www.varnish-software.com/developers/tutorials/varnish-configuration-language-vcl
vctreestatus,VCTreeStatus,
velocity,Velocity,https://velocity.apache.org/
verifpal,Verifpal,https://verifpal.com
verilog,verilog,https://en.wikipedia.org/wiki/Verilog
vgl,VGL,http://www.thermoscientific.com/samplemanager
vhdl,vhdl,https://en.wikipedia.org/wiki/VHDL
vim,VimL,https://www.vim.org
visualprolog,Visual Prolog,https://www.visual-prolog.com/
visualprologgrammar,Visual Prolog Grammar,https://www.visual-prolog.com/
vue,Vue,https://vuejs.org/api/sfc-spec.html
vyper,Vyper,https://vyper.readthedocs.io
wast,WebAssembly,https://webassembly.org/
wdiff,WDiff,https://www.gnu.org/software/wdiff/
webidl,Web IDL,https://www.w3.org/wiki/Web_IDL
wgsl,WebGPU Shading Language,https://www.w3.org/TR/WGSL/
whiley,Whiley,http://whiley.org/
wikitext,Wikitext,https://www.mediawiki.org/wiki/Wikitext
wowtoc,World of Warcraft TOC,https://wowpedia.fandom.com/wiki/TOC_format
wren,Wren,https://wren.io
x10,X10,http://x10-lang.org/
xml,XML,https://www.w3.org/XML
xml+cheetah,XML+Cheetah,http://www.cheetahtemplate.org/
xml+django,XML+Django/Jinja,https://www.djangoproject.com/documentation/templates
xml+evoque,XML+Evoque,https://gizmojo.org/templating
xml+lasso,XML+Lasso,https://www.lassosoft.com
xml+mako,XML+Mako,http://www.makotemplates.org/
xml+myghty,XML+Myghty,http://www.myghty.org/
xml+php,XML+PHP,https://www.php.net
xml+ruby,XML+Ruby,https://github.com/ruby/erb
xml+smarty,XML+Smarty,https://www.smarty.net/
xml+ul4,XML+UL4,https://python.livinglogic.de/UL4.html
xml+velocity,XML+Velocity,https://velocity.apache.org/
xorg.conf,Xorg,https://www.x.org/wiki/
xpp,X++,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/dev-ref/xpp-language-reference
xquery,XQuery,https://www.w3.org/XML/Query/
xslt,XSLT,https://www.w3.org/TR/xslt-30
xtend,Xtend,https://www.eclipse.org/xtend/
xul+mozpreproc,XUL+mozpreproc,https://firefox-source-docs.mozilla.org/build/buildsystem/preprocessor.html
yaml,YAML,http://yaml.org/
yaml+jinja,YAML+Jinja,https://jinja.palletsprojects.com
yang,YANG,https://tools.ietf.org/html/rfc7950/
yara,YARA,https://virustotal.github.io/yara/
zeek,Zeek,https://www.zeek.org/
zephir,Zephir,http://zephir-lang.com/
zig,Zig,http://www.ziglang.org
zone,Zone,https://datatracker.ietf.org/doc/html/rfc1035
